reseau;station;trafic;corr_1;corr_2;corr_3;corr_4;corr_5;ville ;arrdt
METRO;LIBERTE;2532442;8;;;;;CHARENTON;
RER;JOINVILLE-LE-PONT;4017431;A;;;;;JOINVILLE-LE-PONT;
METRO;LE PELETIER;2451509;7;;;;;PARIS;9
RER;VAL D'EUROPE;4656709;A;;;;;SERRIS;
RER;BUSSY-SAINT-GEORGES;3298143;A;;;;;BUSSY-SAINT-GEORGES;
METRO;CAMBRONNE;2524418;6;;;;;PARIS;15
RER;CHAMPIGNY;3588881;A;;;;;SAINT-MAUR DES FOSSÉS;
METRO;VILLEJUIF-PAUL VAILLANT-COUTURIER;2449391;7;;;;;VILLEJUIF;
RER;TORCY;4223220;A;;;;;TORCY;
RER;LA CROIX DE BERNY;3161602;B;;;;;ANTONY;
METRO;CORVISART;2512122;6;;;;;PARIS;13
RER;SUCY-BONNEUIL;2602931;A;;;;;SUCY-EN-BRIE;
METRO;LOUIS BLANC;2272326;7;7bis;;;;PARIS;10
RER;BRY-SUR-MARNE;2450013;A;;;;;BRY-SUR-MARNE;
RER;GENTILLY;2415990;B;;;;;GENTILLY;
METRO;RICHARD LENOIR;2422197;5;;;;;PARIS;11
RER;CHATOU-CROISSY;2332806;A;;;;;CHATOU;
METRO;CRETEIL-L'ECHAT;2253948;8;;;;;CRÉTEIL;
RER;ORSAY-VILLE;2434752;B;;;;;ORSAY;
RER;LE PARC DE SAINT-MAUR;2216669;A;;;;;SAINT-MAUR DES FOSSÉS;
METRO;MALESHERBES;2406916;3;;;;;PARIS;17
RER;LES BACONNETS;1860108;B;;;;;ANTONY;
METRO;BEL AIR;2247926;6;;;;;PARIS;12
RER;BAGNEUX;2241461;B;;;;;CACHAN;
RER;SAINT-REMY-LES-CHEVREUSE;899484;B;;;;;ST-RÉMY-LÈS-CHEVREUSE;
METRO;RANELAGH;2314539;9;;;;;PARIS;16
RER;LE GUICHET;842064;B;;;;;ORSAY;
METRO;MICHEL-ANGE-AUTEUIL;2042174;9;10;;;;PARIS;16
RER;ROBINSON;2158769;B;;;;;SCEAUX;
RER;PARC DE SCEAUX;574699;B;;;;;ANTONY;
METRO;LES AGNETTES;2309419;13;;;;;ASNIÈRES SUR SEINE;
METRO;SEVRES-LECOURBE;1957206;6;;;;;PARIS;15
RER;LE VESINET-LE PECQ;2147193;A;;;;;LE VÉSINET;
RER;COURCELLE-SUR-YVETTE;566162;B;;;;;GIF SUR YVETTE;
METRO;EDGAR QUINET;2142333;6;;;;;PARIS;14
METRO;TRINITE-D'ESTIENNE D'ORVES;1876512;12;;;;;PARIS;9
RER;LA VARENNE-CHENNEVIERES;1985568;A;;;;;SAINT-MAUR DES FOSSÉS;
METRO;EXELMANS;2102492;9;;;;;PARIS;16
METRO;MABILLON;1859872;10;;;;;PARIS;6
RER;LOGNES;1680012;A;;;;;LOGNES;
METRO;NOTRE-DAME-DES-CHAMPS;2051828;12;;;;;PARIS;6
METRO;PONT MARIE;1733641;7;;;;;PARIS;4
RER;FONTENAY-AUX-ROSES;1211339;B;;;;;FONTENAY AUX ROSES;
METRO;QUATRE-SEPTEMBRE;1997741;3;;;;;PARIS;2
METRO;MONTGALLET;1596702;8;;;;;PARIS;12
RER;FONTAINE-MICHALON;731635;B;;;;;ANTONY;
METRO;RASPAIL;1887146;4;6;;;;PARIS;14
METRO;SULLY-MORLAND;1502672;7;;;;;PARIS;4
RER;BURES-SUR-YVETTE;653313;B;;;;;BURES SUR YVETTE;
METRO;AVRON;1871024;2;;;;;PARIS;11
METRO;MIRABEAU;1377611;10;;;;;PARIS;16
RER;MASSY-VERRIERES;607314;B;;;;;MASSY;
METRO;CHATEAU-LANDON;1759434;7;;;;;PARIS;10
METRO;PICPUS;1302314;6;;;;;PARIS;12
RER;LA HACQUINIERE;419294;B;;;;;BURES SUR YVETTE;
METRO;CITE;1740572;4;;;;;PARIS;4
METRO;KLEBER;1253324;6;;;;;PARIS;16
METRO;MONCEAU;1672269;2;;;;;PARIS;17
METRO;RENNES;1181641;12;;;;;PARIS;6
METRO;CHEMIN VERT;1527533;8;;;;;PARIS;11
METRO;QUAI DE LA RAPEE;1155002;5;;;;;PARIS;12
METRO;VARENNE;1241311;13;;;;;PARIS;7
METRO;VANEAU;1028480;10;;;;;PARIS;7
METRO;ASSEMBLEE NATIONALE;1063551;12;;;;;PARIS;7
METRO;BOTZARIS;993450;7bis;;;;;PARIS;19
METRO;CHARDON-LAGACHE;692665;10;;;;;PARIS;16
METRO;FALGUIERE;881763;12;;;;;PARIS;15
METRO;PORTE D'AUTEUIL;622094;10;;;;;PARIS;16
METRO;BOLIVAR;546780;7bis;;;;;PARIS;19
METRO;BUTTES-CHAUMONT;545750;7bis;;;;;PARIS;19
RER;GARE DU NORD-RER;47417703;B;;;;;PARIS;10
RER;LA DEFENSE-RER;34129971;A;;;;;PUTEAUX;
RER;CHATELET-LES HALLES-RER;33581162;A;B;;;;PARIS;1
RER;AUBER;6578583;A;;;;;PARIS;9
RER;VINCENNES;7932117;A;;;;;VINCENNES;
RER;DENFERT-ROCHEREAU-RER;4898356;B;;;;;PARIS;14
RER;NOISY-LE-GRAND-MONT D'EST;7609131;A;;;;;NOISY-LE-GRAND;
RER;SAINT-GERMAIN-EN-LAYE;4826408;A;;;;;SAINT-GERMAIN-EN-LAYE;
RER;LUXEMBOURG;6246164;B;;;;;PARIS;5
RER;BOURG-LA-REINE;4446499;B;;;;;BOURG LA REINE;
RER;NANTERRE-UNIVERSITE;4140214;A;;;;;NANTERRE;
RER;NANTERRE-VILLE;4228110;A;;;;;NANTERRE;
RER;PORT ROYAL;3479339;B;;;;;PARIS;5
RER;NATION-RER;4138889;A;;;;;PARIS;12
RER;NOISIEL;3016034;A;;;;;NOISIEL;
RER;ARCUEIL-CACHAN;3634116;B;;;;;ARCUEIL;
RER;SCEAUX;732895;B;;;;;SCEAUX;
RER;SAINT-MAUR-CRETEIL;3632233;A;;;;;SAINT-MAUR DES FOSSÉS;
RER;BOISSY-SAINT-LEGER;2837635;A;;;;;BOISSY-SAINT-LÉGER;
RER;NOGENT-SUR-MARNE;2835775;A;;;;;NOGENT-SUR-MARNE;
RER;FONTENAY-SOUS-BOIS;2740285;A;;;;;FONTENAY-SOUS-BOIS;
RER;LE VESINET-CENTRE;1380169;A;;;;;LE VÉSINET;
RER;PALAISEAU;1046766;B;;;;;PALAISEAU;
RER;PALAISEAU-VILLEBON;910971;B;;;;;PALAISEAU;
RER;LOZERE;778724;B;;;;;PALAISEAU;
RER;GIF-SUR-YVETTE;669555;B;;;;;GIF SUR YVETTE;
